year,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100,#101,#102,#103,#104,#105,#106,#107,#108,#109,#110,#111,#112,#113,#114,#115,#116,#117,#118,#119,#120,#121,#122,#123,#124,#125,#126,#127,#128,#129,#130,#131,#132,#133,#134,#135,#136,#137,#138,#139,#140,#141,#142,#143,#144,#145,#146,#147,#148,#149,#150,#151,#152,#153,#154,#155,#156,#157,#158,#159,#160,#161,#162,#163,#164,#165,#166,#167,#168,#169,#170,#171,#172,#173,#174,#175,#176,#177,#178,#179,#180,#181,#182,#183,#184,#185,#186,#187,#188,#189,#190,#191,#192,#193,#194,#195,#196,#197,#198,#199,#200,#201,#202,#203,#204,#205,#206,#207,#208,#209,#210,#211,#212,#213,#214,#215,#216,#217,#218,#219,#220,#221,#222,#223,#224,#225,#226,#227,#228,#229,#230,#231,#232,#233,#234,#235,#236,#237,#238,#239,#240,#241,#242,#243,#244,#245,#246,#247,#248,#249,#250,#251,#252,#253,#254,#255,#256,#257,#258,#259,#260,#261,#262,#263,#264,#265,#266,#267,#268,#269,#270,#271,#272,#273,#274,#275,#276,#277,#278,#279,#280,#281,#282,#283,#284,#285,#286,#287,#288,#289,#290,#291,#292,#293,#294,#295,#296,#297,#298,#299,#300,#301,#302,#303,#304,#305,#306,#307,#308,#309,#310,#311,#312,#313,#314,#315,#316,#317,#318,#319,#320,#321,#322,#323,#324,#325,#326,#327,#328,#329,#330,#331,#332,#333,#334,#335,#336,#337,#338,#339,#340,#341,#342,#343,#344,#345,#346,#347,#348,#349,#350,#351,#352,#353,#354,#355,#356,#357,#358,#359,#360,#361,#362,#363,#364,#365,#366,#367,#368,#369,#370,#371,#372,#373,#374,#375,#376,#377,#378,#379,#380,#381,#382,#383,#384,#385,#386,#387,#388,#389,#390,#391,#392,#393,#394,#395,#396,#397,#398,#399,#400,#401,#402,#403,#404,#405,#406,#407,#408,#409,#410,#411,#412,#413,#414,#415,#416,#417,#418,#419,#420,#421,#422,#423,#424,#425,#426,#427,#428,#429,#430,#431,#432,#433,#434,#435,#436,#437,#438,#439,#440,#441,#442,#443,#444,#445,#446,#447,#448,#449,#450,#451,#452,#453,#454,#455,#456,#457,#458,#459,#460,#461,#462,#463,#464,#465,#466,#467,#468,#469,#470,#471,#472,#473,#474,#475,#476,#477,#478,#479,#480,#481,#482,#483,#484,#485,#486,#487,#488,#489,#490,#491,#492,#493,#494,#495,#496,#497,#498,#499,#500
2010,478605.3426550978,333734.2932549437,191725.16343966685,183813.55616447152,176393.2001412481,163572.5976583997,144230.89860402833,138708.71865942693,135571.27629599735,-134305.04395201232,131890.99543695198,127543.59772260337,126398.12642623913,125019.34009612209,122624.05057875041,120982.63828099203,116789.88505383936,115753.56767527608,115644.53100121071,-112270.25629196169,102163.84628719228,93439.73992460652,89964.87009025204,84168.1053169828,83737.820807499,82111.65019536266,81140.87206497414,80055.19507374254,77587.21444032725,76626.9882461386,76241.37359990094,74256.3199132333,72570.35499596434,72080.97964376124,70116.67809828668,-68513.72174579007,62045.38485526654,62024.28098286678,60583.35547290604,58632.41971328466,57921.92267582639,55362.49192867887,53107.89489397219,52981.271659573686,52777.267559709435,52695.19694482151,52248.49831236013,51637.6584501229,51123.427425982314,50686.81175477859,48184.83043805261,47894.88668002715,47350.05504090692,44100.05869134534,43208.185594984774,-42837.34365942694,42382.43796547676,-42344.91997009943,41921.67008474887,41618.00880966357,41376.48671442198,41184.20698811315,40758.72947178706,39879.635942601904,38324.63227794695,37982.28057012877,37822.8290897751,37533.2370629563,37495.71906757897,36949.36325989654,36455.767133213485,36333.83364823715,36299.12950251312,36237.69378508273,36069.68351203361,35669.06166764501,35234.08740873904,34739.31884470044,34667.8001660124,34604.957523755365,34076.89173881939,33815.43820853359,33410.9473208717,32902.10950856661,32157.96351900429,32040.36805224346,31849.260763290164,31339.250513629526,30822.79185851341,30809.30882892468,30166.695914352276,29909.932133488648,29807.578352349854,29351.969195986352,29171.413843232927,29016.534868565872,28960.375119235425,28935.75393476905,28742.30177110467,28735.267146971422,28461.503024452435,27728.846920974425,27539.38104431889,27395.171249587263,-27261.51339105551,27110.26897219063,27097.841136221887,26666.735920589206,25910.748313735923,25867.48537531643,25782.24917956855,25601.342095608466,25377.406560700005,25364.509749789046,25327.695216825032,25283.61157225667,24521.527291154565,24329.24756484573,23786.87804417214,23351.434810323954,22850.804059507653,22748.802009575524,22547.142784422347,22482.775973603108,22438.106110356974,22411.140051179515,21977.338229629084,21713.539824632207,21589.261464944786,21402.14046300033,20949.11066881902,20585.186113658874,20583.31021389001,20304.270123271086,20140.12889349525,20047.506342407458,19725.086069633486,19626.484088032434,19449.56329108119,19151.7642027736,19111.901332685182,19028.541036706167,18804.371014326596,18735.66618529185,18457.681288292915,18422.742655097773,18340.437552738746,18307.60930678358,18288.6158216238,18209.124568918076,17969.94734838757,-17796.4266197674,17740.149626701397,17633.457827347105,17224.628921469714,17223.104752907508,17216.187372509816,17205.518192574385,17166.827759841508,17116.412953553216,17074.90867116704,16645.09313662545,16637.472293814433,16581.781519426204,16558.332772315367,16444.48910509227,16432.88197527241,16406.26764730161,16301.100016509521,15967.424345122354,15907.630039989726,15815.007488901932,15709.488126903181,15498.449402905675,15278.734642477162,15260.444619730712,15258.803207432953,15219.174824815644,15202.995189309167,15102.165576732583,14926.299973401326,14904.023663646036,14756.296556847783,14743.399745936822,14728.158060314781,14545.257832850277,14492.498151850901,14433.876284073815,14418.51735471622,14349.460794474813,14244.762138624941,14238.665464376125,14192.354188832227,13920.348722346553,13830.54002091206,13824.208859192133,13764.414554059507,13741.786513097553,13699.344280826943,13675.543802509448,13616.687447261253,13563.927766261877,13444.80813093884,13423.235283596874,13242.914418314562,13119.925739718237,13113.594577998312,13082.524988076457,13027.772163572661,13026.247995010455,12953.087904024655,12915.100933705104,12788.946674248818,12784.84314350442,12717.427995560774,12704.531184649815,12683.427312250064,12662.323439850314,12598.6600914444,12366.869226253808,12302.385171699012,12261.349864255053,-12225.004306233262,12216.797244744468,12212.107495322301,12203.31421515574,12191.003622922552,12173.182575118317,12134.72662985655,12086.656698279341,12073.759887368384,11943.619340903255,11898.011527772682,11852.989933319883,11831.06535477125,11791.788703360606,11772.326243258613,11706.78699508383,11589.543259529662,11557.18398851671,11460.106175477858,11419.0708680339,11330.434603954947,11307.337588050776,11206.273488003082,11192.086996001028,11157.148362805887,11079.533009869023,10976.358522581357,10919.847042044246,-10855.597474960561,10843.990345140697,10804.010231316724,10654.055493542943,10643.386313607514,10636.117202003154,10632.834377407638,10626.97219062993,10600.00613145247,10551.936199875261,10505.038705653595,10500.348956231426,10495.65920680926,10443.3685007521,-10396.11927532377,10375.01540292402,10232.329776754596,10200.791211890524,10121.06547171369,10114.61706625821,10100.3133305206,9870.750096305537,9826.666451737168,9783.98973199545,9708.953741240783,9678.470369996698,9635.79365025498,9612.931121821917,9599.917067175404,9503.777204020986,9503.777204020986,9480.914675587923,9423.582488901933,9416.547864768683,9395.91296731115,9362.73299014932,9343.153286311774,9316.187227134315,9306.807728289981,9221.219801335437,9213.012739846645,-9113.707295832262,9101.631191070182,9093.775860788053,9071.1478198261,9029.995268646586,8917.558526250137,8904.661715339178,8894.109779139304,8892.937341783761,8883.792330410537,8793.04567909161,8740.75497303445,-8738.175610852259,8676.739893421875,8637.345998275672,8611.904107660417,8586.696704516271,8534.992217136882,8465.349438217705,8462.066613622188,8461.128663737756,8455.735451902265,8451.280189951205,8424.196887038192,8423.02444968265,8340.484859852515,-8326.063880379352,8317.505087683898,8312.580850790622,8285.380304142054,8285.028572935393,8240.2414659537,8220.427274645046,8105.997388744176,-8102.714564148659,8070.355293135708,8064.258618886891,7992.270965256631,-7981.250054114538,7952.29085143266,7919.814336684155,7882.4135850423745,7838.447184209561,7837.743721796236,7800.108482683348,7773.728642183659,7695.8788017756915,7675.126660582602,7660.353949902777,7648.04335766959,-7638.194883883039,7574.297048006018,7566.207230252779,7444.625476483105,7402.652219154712,7319.174679440144,7300.298438015922,7294.905226180431,7283.180852625013,7275.442766078438,-7260.201080456396,7210.372492845873,7204.275818597057,7162.185317533111,7114.349873427009,7092.073563671717,7066.9834042631255,7050.569281285541,7009.533973841582,7002.73383717944,6979.167846333052,6978.112652713065,6923.711559415929,6918.08386010933,6867.78629755659,6836.482220163627,6821.709509483801,6727.211058627142,6580.890876655539,6565.180216091279,6561.311172817992,6539.386594269362,6535.165819789411,6529.538120482811,6509.25495423194,6504.565204809773,6484.751013501119,6481.233701434493,-6457.78495432366,6447.584749330447,6415.577209524159,6407.3701480353675,6389.783587702242,6377.355751733498,6370.203883864696,6367.272790475841,6351.444886176028,6345.9344306049825,-6334.679031991782,-6325.2995331474485,6265.505228014822,6256.594704112705,6235.139100506292,6212.393815808783,6193.75206185567,6133.254294309719,6129.502494771985,6123.8747954653845,6111.5642032321975,6109.571059727777,6102.536435594526,6099.488098470118,6082.722244285872,6070.29440831713,6041.100718164141,6040.397255750816,6037.583406097517,6015.77607128444,6003.699966522361,-5977.906344700444,5970.988964302748,-5960.202540631764,5958.326640862898,5917.291333418938,-5886.456230968191,5884.345843728215,5882.235456488242,5880.47680045493,5879.069875628279,-5878.131925743846,5841.551880250944,-5831.937893935502,5825.95846342224,5819.392814231206,-5812.475433833511,5787.033543218255,5691.01092379939,5682.921106046154,5672.955388524049,5667.913907895219,-5631.216618666765,5631.216618666765,5612.457620978098,5598.505616447152,5541.876892174488,5539.766504934511,5524.52481931247,5522.53167580805,5510.221083574862,5509.634864897091,5504.241653061598,5495.565616630591,5495.213885423927,5488.530992497341,5450.661265913343,5429.557393513593,5421.350332024801,5418.888213578163,5413.1432705360085,5407.2810837583,5390.515229574054,5377.149443720879,-5373.5148879187,5357.686983618886,5349.948897072312,5306.099739975051,5294.140878948527,5280.188874417581,-5264.595457588876,5253.691790182338,5240.79497927138,5195.304409876361,5183.697280056499,5175.138487361045,5173.731562534395,-5165.055526103385,5155.910514730162,5141.372291521443,5132.813498825989,5132.110036412664,5118.8614942950435,5118.040788146165,5099.516277928606,5090.019535348717,5079.584842884397,5072.315731280038,5065.632838353451,5058.832701691308,5033.625298547163,5013.34213229629,5007.479945518582,5005.369558278608,4989.189922772132,4984.617417085519,4980.513886341123,4974.417212092307,4967.851562901274,4967.617075430165,4961.754888652456,-4952.375389808123,4942.995890963789,4939.947553839381,4938.306141541622,4917.319512877427,4916.264319257439,4916.147075521884,4896.684615419892,4884.139535715596,4879.4497862934295
2011,479457.3186197147,403108.8020218815,223149.06889867922,210225.22844860164,174831.5677805983,172334.54223589506,154782.62348903483,154108.64253864382,152519.7296066934,146564.14751554866,-143244.25146817582,141648.51916741874,131244.4354913999,126220.83380383126,123546.50467015503,121117.67281351835,118676.33878073611,-113508.39378675997,112067.1201894736,111801.27846216086,109579.30079265936,107012.94499842181,105983.22030861702,97782.92931861526,93413.30509960478,90571.44680557841,88599.51265898756,88590.42016724535,77755.57969493953,77282.77012434482,77069.096568403,76626.97415743825,76592.87731340497,74977.02787466826,-74132.22173567057,73087.7217467847,71804.20288122557,-71016.90675249735,70105.38445534123,69997.41111590253,69891.71089939939,66831.86011585363,65736.44217321141,61744.83829838312,61003.80022139336,59916.110896732,56480.28557964604,56310.937920947465,56307.52823654413,55481.24804947119,53350.536265832074,53293.367224002955,52267.05221860149,52244.32098924598,51133.55946678877,49580.22090877972,49242.66215285033,48403.87978963186,47674.207327319855,46655.848252192816,46140.98590729042,-45507.921169739355,44689.59691294085,43659.87222313605,43260.93914794678,43117.732403007045,42329.52702510459,40294.513717052185,39969.116168828,39914.902186815096,39719.64092665123,39503.46693548028,39477.32602172145,39339.80208412059,39312.524608893975,38989.741152045666,38922.6840254469,38874.94844380033,38493.291102921234,38346.78832972495,37927.05617967538,37725.88479987908,37254.21179075216,37203.066524702255,37009.851075180384,36899.60461280614,36625.57964292542,36091.509409217615,35688.03008815724,34873.11551576205,34371.891908472964,33325.118796651535,32312.442528863387,30923.564415241468,30559.86474555324,-30482.578565744494,30303.001853835933,29555.826344920177,29428.986085116412,29174.509972481428,29149.505620190364,28786.94251196991,28718.521511609815,28622.02744299566,28617.481197124554,28541.331578783585,28417.44637879603,27897.014882701533,27704.822338500664,27393.40449633012,27362.26271211306,26577.694330907492,26533.141121370685,26401.186334961927,26227.29243039224,-25939.742379044987,25439.655333223676,25197.567740587452,24938.659038228147,24852.053054383636,-24587.234232391893,24155.340874637124,23882.566122370954,23696.51101009607,23563.192349925983,23319.96819582198,23032.418144474726,23018.779406861417,22568.701065622237,22442.542742699134,22144.763638141896,21776.745034876123,21743.67109616385,21670.817506079427,21610.579748287313,21574.209781318496,21444.64177399206,21442.9369317904,21403.725561152136,21304.503745015318,21190.052005210302,20902.501953863048,20874.087917168657,20427.4192603328,20396.845756849634,20184.195106228803,19839.81698149276,19746.618941135155,19745.482379667377,19478.390434740086,19430.654853093507,19338.707030350448,19281.765300814888,19198.79631366726,18330.46335228662,18037.685118187597,18008.361832318988,17976.992735808377,17821.283814723105,17689.442684461123,17408.71200192052,17348.47424412841,17108.659774427735,17006.710210768255,16967.726152423547,16817.131757943265,16666.537363462983,16617.665220348626,16397.172295600143,16382.396996519057,16347.16359101801,16298.291447903655,16221.005268094908,15979.826924632902,-15873.21745895554,15757.288189242418,15731.147275483576,15587.940530543838,15479.853534958367,15340.170130568733,15256.064581953331,15240.60734599158,15160.593418660172,15144.681558111311,15137.862189304657,15032.161972801518,15005.566434455564,14815.078732456355,14809.509581264254,14759.955501269233,14683.237602194375,14596.85893064342,14366.932545712394,14288.509804435871,14255.32220957682,14224.066769212986,14208.723189398015,14103.591253628761,14089.952516015454,14059.492668679066,13860.367099524761,13816.041202281509,13808.312584300635,13803.539026135975,13756.940005957173,13743.301268343863,13587.137722671481,13534.173958273133,13331.866017009057,13287.540119765805,13221.733210781591,13170.360632438127,13056.363517220225,12892.01672897986,12738.126306243028,12732.44349890415,12678.343173038023,12668.568744415152,12635.153837262547,12584.00857121264,12530.362869933626,12491.94709232281,12483.991162048378,12481.718039112828,12423.753404256266,12346.239912153962,12262.020707391783,12200.305419691562,12169.618260061618,12088.46777126243,12085.058086859104,11999.815976775926,11962.309448339329,11936.168534580487,11832.17316027901,11797.96266009896,11718.971638088547,11698.513531668586,11585.198353331349,11581.561356634465,11497.455808019065,11478.134263066877,11466.76864838912,11447.106134996602,11423.011031879754,11417.896505274764,11387.09568949804,11357.886059776209,11295.147866754989,11269.575233730035,-11195.130457590725,11186.49259043563,11042.83122090878,11024.646237424367,10987.935302015214,10987.821645868436,10929.17507413121,10926.106358168214,-10852.684487349907,10842.796402580256,10815.518927353638,10767.442377266727,10645.034707187284,10572.294773249636,10540.812020592248,10493.872031973115,10430.338245924451,10409.311858770601,10406.697767394717,10364.304024646683,10258.603808143542,10242.691947594682,10235.645266494472,10232.4628943847,-10166.428673106931,10057.432428347242,10022.88095972686,10017.198152387982,9984.692494409597,9817.617958646568,9793.863823970054,9788.0673604844,9725.556479756735,9718.737110950082,9692.255228750906,9674.411213706828,-9640.314369673557,9558.027319406594,9459.48744015044,9389.929878322568,9366.630368233165,9359.583687132956,9342.535265116321,9309.120357963717,9232.970739622744,9213.649194670556,-9166.368237611086,-9052.825746980294,9034.981731936214,9033.958826615217,9025.434615606899,8941.329066991497,8940.306161670498,8897.912418922464,8871.998817457179,8866.997946998965,8860.405890485867,8838.356598011016,8792.553170859655,8754.47836168917,8740.498655635529,8724.245826646335,8681.056490870858,8628.774663353177,-8595.246100053793,8569.787123175618,8554.670855654202,-8490.682445018429,8485.567918413437,8375.207799892416,-8368.388431085761,8368.047462645429,8319.629944118184,8237.570206144777,8206.769390368056,8203.700674405061,8168.467268904015,8163.011773858691,8149.827660832493,8126.4144945963135,8117.322002854107,8084.47537643539,8022.987401028724,8003.097575342648,-8000.25617167321,7956.839523604178,7918.310089846581,7892.510144528072,7883.076684345533,7838.409818661949,7835.454758845732,7789.083050960483,-7749.417055735112,7701.681474088532,7685.428645099339,7682.1326168427895,7630.873694646104,7604.732780887263,7543.358461627375,-7537.675654288497,7499.1462205309,7467.77712402029,-7455.16129172798,7446.75073686644,7423.9058513641485,7402.083871182854,-7380.830171735448,7378.329736506343,7327.8664073371,7321.7289754111125,7307.067332476806,7299.793339083041,7237.396114502154,7231.372338722943,7188.410315241021,7181.590946434368,7174.885233774491,7161.36015230796,7144.425386438102,7107.4871387353905,7046.112819475503,7010.652101680901,7010.311133240569,6976.441601500852,6972.577292510415,6943.254006641801,6932.911297285042,6921.31837031373,6845.1687519727575,6841.190786835543,6833.462168854668,6802.320384637613,6783.339808125759,6782.544215098316,6776.74775161266,6747.76543418438,6734.354008864625,6726.170766296641,6688.550581713264,6685.709178043826,6666.728601531971,6655.931267588102,6652.29427089122,6648.884586487892,6604.10406465753,6599.216850346094,6545.684805213858,6524.203793472898,6505.905153841708,6471.353685221327,6463.852379534007,6445.440083756041,6424.754665042523,6405.660432383891,6368.153903947293,6366.221749452075,6354.969790921094,6333.261466886578,6296.095906890313,-6295.4139700096475,6289.731162670769,6262.794655884485,6261.544438269932,6219.378007815453,6218.582414788009,6216.081979558903,6203.352491119815,6194.8282801114965,6187.440630570955,6183.121696993407,6166.18693112355,6163.34552745411,6157.662720115231,6134.590522319384,6132.658367824167,-6059.009184712299,6045.48410324577,5951.035845273608,5917.052657387115,5913.756629130565,-5901.822733718919,5893.071210417047,5880.569034271513,-5878.295911335962,5874.8862269326355,5870.112668767978,-5837.834323083147,5822.1497748278425,5820.672244919735,5818.285465837405,5763.503203090617,5763.503203090617,5755.433616669408,5755.206304375853,5751.001026945084,5738.49885079955,5687.239928602865,5679.397654475214,5673.714847136334,-5667.8047275039025,5658.825891908474,5635.185413378739,5628.479700718862,5628.252388425307,5626.320233930089,5593.132639071038,5591.200484575818,5578.1300276963975,5567.105381458974,5560.854293386206,5557.785577423213,5557.785577423213,5548.693085681008,5536.759190269362,5529.257884582043,5520.279048986615,5492.092324585777,5485.954892659788,5477.089713211138,5474.930246422365,5466.747003854379,-5464.246568625272,5443.78846220531,5394.120726063511,5369.230029919224,5360.478506617349,5321.608104419421,5302.059247173678,5270.008213782404,5246.822359839779,5246.367735252669,5234.206527547469,5229.319313236033,-5219.544884613162,5200.791620394863,5193.290314707543,5155.329161683834,5147.259575262627,5111.11692058736,5103.274646459708,5084.976006828519,5083.498476920409,5080.543417104193,5048.606039859696,5029.284494907509,5012.918009771539,5004.393798763221,5001.438738947004,5001.097770506671,4984.617629223923
2012,504341.1516938596,497686.76947132766,273503.349377597,264206.58947533474,167334.99713407145,164373.03985295785,159999.14203332842,153054.1316715594,151732.38607280678,-141689.56926139185,141108.31298291768,139295.50604545415,128136.94442363478,124807.52627681909,123461.2832870197,123420.08312935007,-120537.18561025115,119981.54024059862,-119052.86641636978,114624.40622577246,114296.14118574528,113425.1475822539,100633.05538472261,99008.43295120953,98281.30584422938,97540.81652395098,91930.91397423278,89834.16000418129,89323.7234561879,84067.9195588735,82005.01652917759,80378.16706011482,79872.62999033075,78660.00913351396,78386.08376089968,78016.72991498036,-77882.77372666533,77795.91934022667,76537.6442546408,75643.48948143245,74053.38609893988,72412.06089880397,71604.87186381177,69117.16180300878,67602.44357387388,66964.73194421458,66794.3637246618,64795.59931879753,62181.0595834386,60536.39382997814,60128.8463243813,59133.361433661164,55978.765577497674,55907.50043990697,54612.4792677509,53534.59406169151,53501.18852844587,51992.3719435177,51825.34427728948,51364.68197383208,50960.14096622734,49343.313157138255,48583.003220467435,-48124.01119367231,46285.593347387134,45535.08236713504,45468.271300643755,43845.87590268038,43787.41621950051,43765.70262289084,43261.613126214106,43114.294724600826,42207.89125586906,42170.03165152399,41794.776161397946,41322.64462485953,41265.855218341945,41106.39947298275,41013.08668344992,40969.65949023058,40452.653187365526,-39665.73017587568,39101.17666402432,38606.77477198882,38553.2145670183,38297.773589466626,38165.82173314634,37947.57224927481,37614.40773103827,37502.16513933291,37197.06126902271,36386.42032892846,36360.8094201068,36196.0087894283,35946.58080786083,35928.76452346316,35646.48776753748,35016.014003414726,34627.062244657965,34182.54594893595,33324.24644807791,32972.37483122382,32263.064008641344,31243.0817268744,30316.63493819525,30264.076899222106,30071.66102772721,29546.526045105715,29494.97017212993,29402.436845039505,28989.321750568397,28334.573298953805,28077.23934118488,27862.664465970367,27783.382000400707,27683.16540066378,27678.711329564365,27647.53283186843,27043.44943900973,26984.989755829858,26976.527020740963,26964.946435882473,26701.0427232419,26035.604500988706,25824.14747554379,25351.459180117952,-25194.453173863432,24687.802586304522,24504.072153453486,24495.164011254652,24406.082589266272,23828.166864116658,23818.47925947542,23655.571609014176,23250.251138967047,23230.20781901966,23212.391534621987,22296.634516581442,22278.818232183767,22141.187435211727,22082.17099314442,21908.462220267083,21777.06712283422,21197.035713912384,21072.210371351168,20938.5882383686,20784.922785438644,20627.916779184125,20329.271311968085,20096.768800578415,19774.962163645396,19661.38335061021,19219.316793992875,18805.088181746913,18633.606444419278,18505.551900310984,18393.977419270537,18346.7642656167,18211.805911304302,18103.571983588423,18087.982734740457,17976.63095725498,17870.84676864378,17741.67870676063,17615.851198202046,17598.034913804368,17435.461318675578,17350.833967786617,17268.545004224852,17192.157684869817,17093.61136179517,17082.476184046624,17016.778635330193,16890.951126771608,16835.497941583842,16831.934684704305,16661.56646515153,16660.452947376674,16653.771840727546,16574.71207871286,16569.36719339356,16519.815652412522,16488.08039582916,16321.943543820833,16200.570106361665,16178.299750864571,16011.272084636359,15862.060702805824,15763.51437973118,15730.665605372964,15643.14310826938,15552.502761396205,15542.48110142251,15487.918730454629,15470.102446056955,15447.27533167243,15402.623268900756,15385.475095167994,15320.000250006535,-15294.166637629904,15190.609484568413,15127.138971401693,14896.640792006761,14748.208872618625,14696.207592532906,14546.996210702371,14537.531309616106,14536.974550728679,14406.692971070674,14307.923944441058,14208.48680714653,14204.032736047111,14059.275425315993,13873.206605137764,13802.609578211974,13747.37909657918,13715.198432885878,13587.92335121998,13570.107066822306,13476.905629066963,13251.975038546303,13216.89922863838,13200.753220902987,13164.00713433278,13117.462091343852,13076.039230119255,13028.603372910442,12974.375057275018,12955.779310434944,12943.530614911542,12834.405872975774,12802.113857504988,12793.762474193578,12573.397306549825,12568.27512478549,12554.912911487236,12537.096627089559,12529.302002665576,12503.802445621403,12461.377418399437,12440.220580677196,12111.732837095047,11929.784032683781,11921.989408259798,11866.758926627004,11864.309187522324,11842.929646245113,11826.672286732231,11815.537108983684,11771.33045332195,-11710.866438147339,11622.453126823873,11591.49733268291,11560.207483209493,11559.428020767094,11540.498218594563,11533.817111945435,11518.227863097467,11509.653776231085,11444.735689957055,11409.659880049132,11365.67592794237,11275.59233995662,11255.214964676778,11226.486206085527,11175.264388442209,11132.950712997728,11065.916942951471,-11000.998856677441,-10692.44308126519,10691.997674155247,10690.884156380394,10634.651508750228,-10632.981232087946,10628.527160988528,-10607.370323266288,10532.987335905993,10478.981723825536,10469.516822739271,10312.28811292978,-10231.001315365385,10143.924225371742,10111.854913455927,10109.627877906218,-10100.719735707378,9918.102820631202,9906.967642882653,9837.372781954233,9831.80519307996,9810.09159647029,-9785.594205423487,9769.114142355638,9760.762759044226,9752.745431065272,9698.294411874875,9625.247645844403,9610.660562993808,9607.320009669244,9585.495061282088,9520.911030340514,9518.127235903377,9510.555315034366,9498.529323065935,9467.016770037546,9409.225197522583,9337.291949266966,9320.143775534205,9249.992155718355,-9240.415902854604,9211.909847818322,9203.11305739697,9176.165927245487,9166.92372971419,9122.93977760743,9058.133043110884,9015.039905224005,8995.553344164047,8995.219288831591,8991.54468017457,8989.428996402346,8960.477534256122,-8949.787763617516,8905.358404400813,8840.217614571811,8830.195954598117,8818.838073294599,8791.334184255687,-8785.655243603927,8784.430374051586,8764.832461214144,8740.335070167339,-8733.097204630783,8721.182564439838,8595.243704103767,8487.232479942857,8453.826946697214,8445.698266940773,8418.194377901862,8389.354267533125,8385.902362431074,8363.075248046553,8351.606014965548,8270.096513846182,-8227.782838401701,8193.263787381204,8109.7499542670985,8097.278555188725,-8075.564958579058,8043.829701995698,8022.895567828428,8021.782050053574,8021.11393938866,7950.516912462869,7929.5827782956,7922.344912759044,7916.220564997343,7839.165134977396,7810.881783496085,7793.399554430865,7793.065499098409,7788.500076221504,7748.970195214161,7716.5668279658885,7571.920869012257,7570.250592349975,7565.573817695585,7557.111082606689,7530.720711342631,7482.0599845814795,-7476.158340374749,7438.187384252203,7430.504111605705,7383.179606174377,7369.260633988693,7365.92008066413,7351.889756700959,7321.713425002396,-7313.584745245956,7242.987718320166,7241.206089880398,7202.232967760482,7126.73646262533,7126.291055515389,7055.248621479656,7035.650708642212,6981.867800116728,6978.63859856965,6977.302377239824,6948.239563316115,6925.412448931593,6892.675026350863,6870.961429741195,6863.055453539727,6860.8284179900165,6848.691074244101,6825.641256304608,6821.075833427703,-6816.065003440857,6811.610932341438,6807.268213019504,6800.141699260434,6790.120039286741,6782.7708219727,6771.078885336726,6769.965367561871,6769.074553341987,-6737.339296758627,6705.604040175267,6702.374838628188,6681.552056238404,6652.266538759724,6611.734491755012,6597.147408904415,6595.811187574588,-6592.025227140083,6583.22843671873,6573.0954249675515,6569.754871642987,6559.287804559353,6546.370998371038,6532.674729740324,6501.830287376848,6483.011836981804,6445.93169507914,-6410.967236948702,6409.408312063904,6399.275300312725,6382.349830134935,6357.629735533159,6304.848993005044,6302.844661010306,6282.801341062921,6281.242416178123,6262.4239657830785,6261.310448008223,6249.061752484821,6248.727697152365,6237.926574736273,6226.011934545328,6185.813942873072,6181.137168218682,6176.683097119263,6171.449563577446,6150.292725855205,-6114.771508837339,6081.922734479124,6060.87724853437,6034.264173715342,6012.550577105674,5995.17969981794,5984.935336289277,5959.547131022588,5946.853028389244,5940.617328850057,5934.6043328658425,5930.5956688763645,5926.921060219343,5914.672364695942,5890.5090289815935,5887.391179212001,5877.146815683336,5868.015969929528,5839.732618448217,5838.173693563421,5834.833140238858,5803.431938987954,5792.853520126833,-5771.362627072137,-5768.578832634999,5757.109599553995,5741.297647151058,5738.736556268893,5723.7040663083535,-5704.10615347091,-5677.827133984338,5621.705838131659,5599.992241521992,5573.713222035419,5570.929427598283,-5557.567214300026,5556.453696525172,5552.445032535694,5549.995293431013,5451.671673911339,5438.420812390567,5427.06293108705,5421.495342212776,5411.696385794054,5406.462852252237,5397.666061830884,-5391.987121179126,5391.764417624155,5380.963295208063,5374.282188558935,5373.502726116537,5372.723263674138,5371.609745899284,5352.902647281724,5322.614963805674,5311.368434279641
